Site code,Site name,Island,Habitat (general),Year,Month,Sampling method,Sample number,Sample code,MF,Species,Family,Order (new),Class,N/E/I,Trophic,Adults
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S13,PTS-ETHY-S13,71,Oxidus gracilis (C.L.Koch),Paradoxosomatidae,Polydesmida,Diplopoda,I,S,1
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S13,PTS-ETHY-S13,233,Oedothorax fuscus (Blackwall),Linyphiidae,Araneae,Arachnida,I,P,5
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S14,PTS-ETHY-S14,17,Pardosa acorensis Simon,Lycosidae,Araneae,Arachnida,E ,P,1
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S15,PTS-ETHY-S15,9,Ommatoiulus moreletii (Lucas),Julidae,Julida,Diplopoda,I,H,3
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S15,PTS-ETHY-S15,41,Ocypus aethiops (Waltl),Staphylinidae,Coleoptera,Insecta,N,P,1
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S15,PTS-ETHY-S15,233,Oedothorax fuscus (Blackwall),Linyphiidae,Araneae,Arachnida,I,P,2
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S16,PTS-ETHY-S16,9,Ommatoiulus moreletii (Lucas),Julidae,Julida,Diplopoda,I,H,1
TER-ACAR-T111,Algar do Carvão 1,TER,Exotic forest - mono,2007,August,Pitfall solution,S16,PTS-ETHY-S16,41,Ocypus aethiops (Waltl),Staphylinidae,Coleoptera,Insecta,N,P,2
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S02,PTS-ETHY-S02,17,Pardosa acorensis Simon,Lycosidae,Araneae,Arachnida,E ,P,1
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S02,PTS-ETHY-S02,27,Lithobius pilicornis pilicornis Newport,Lithobiidae,Lithobiomorpha ,Chilopoda,N,P,3
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S02,PTS-ETHY-S02,37,Polydesmus coriaceus Porat,Polydesmidae,Polydesmida,Diplopoda,I,S,1
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S03,PTS-ETHY-S03,9,Ommatoiulus moreletii (Lucas),Julidae,Julida,Diplopoda,I,H,1
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S03,PTS-ETHY-S03,27,Lithobius pilicornis pilicornis Newport,Lithobiidae,Lithobiomorpha ,Chilopoda,N,P,4
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S03,PTS-ETHY-S03,39,Pisaura acoreensis Wunderlich,Pisauridae,Araneae,Arachnida,E ,P,1
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S04,PTS-ETHY-S04,17,Pardosa acorensis Simon,Lycosidae,Araneae,Arachnida,E ,P,1
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S04,PTS-ETHY-S04,27,Lithobius pilicornis pilicornis Newport,Lithobiidae,Lithobiomorpha ,Chilopoda,N,P,2
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S04,PTS-ETHY-S04,28,Dysdera crocata C. L. Koch,Dysderidae,Araneae,Arachnida,I,P,1
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S06,PTS-ETHY-S06,9,Ommatoiulus moreletii (Lucas),Julidae,Julida,Diplopoda,I,H,1
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S06,PTS-ETHY-S06,38,Chthonius ischnocheles (Hermann),Chthoniidae,Pseudoscorpiones,Arachnida,I,P,2
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S07,PTS-ETHY-S07,27,Lithobius pilicornis pilicornis Newport,Lithobiidae,Lithobiomorpha ,Chilopoda,N,P,2
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S07,PTS-ETHY-S07,38,Chthonius ischnocheles (Hermann),Chthoniidae,Pseudoscorpiones,Arachnida,I,P,1
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S08,PTS-ETHY-S08,17,Pardosa acorensis Simon,Lycosidae,Araneae,Arachnida,E ,P,1
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S08,PTS-ETHY-S08,27,Lithobius pilicornis pilicornis Newport,Lithobiidae,Lithobiomorpha ,Chilopoda,N,P,1
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S08,PTS-ETHY-S08,41,Ocypus aethiops (Waltl),Staphylinidae,Coleoptera,Insecta,N,P,1
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S08,PTS-ETHY-S08,103,Chthonius tetrachelatus (Preyssler),Chthoniidae,Pseudoscorpiones,Arachnida,I,P,1
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S09,PTS-ETHY-S09,9,Ommatoiulus moreletii (Lucas),Julidae,Julida,Diplopoda,I,H,1
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S09,PTS-ETHY-S09,17,Pardosa acorensis Simon,Lycosidae,Araneae,Arachnida,E ,P,4
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S09,PTS-ETHY-S09,27,Lithobius pilicornis pilicornis Newport,Lithobiidae,Lithobiomorpha ,Chilopoda,N,P,2
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S09,PTS-ETHY-S09,38,Chthonius ischnocheles (Hermann),Chthoniidae,Pseudoscorpiones,Arachnida,I,P,1
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S09,PTS-ETHY-S09,41,Ocypus aethiops (Waltl),Staphylinidae,Coleoptera,Insecta,N,P,1
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S09,PTS-ETHY-S09,308,Stelidota geminata (Say),Nitidulidae,Coleoptera,Insecta,I,S,1
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S10,PTS-ETHY-S10,17,Pardosa acorensis Simon,Lycosidae,Araneae,Arachnida,E ,P,1
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S10,PTS-ETHY-S10,38,Chthonius ischnocheles (Hermann),Chthoniidae,Pseudoscorpiones,Arachnida,I,P,1
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S10,PTS-ETHY-S10,82,Proteinus atomarius Erichson,Staphylinidae,Coleoptera,Insecta,N,P,1
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S11,PTS-ETHY-S11,17,Pardosa acorensis Simon,Lycosidae,Araneae,Arachnida,E ,P,6
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S11,PTS-ETHY-S11,27,Lithobius pilicornis pilicornis Newport,Lithobiidae,Lithobiomorpha ,Chilopoda,N,P,2
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S11,PTS-ETHY-S11,832,Paraphloeostiba gayndahensis (MacLeay),Staphylinidae,Coleoptera,Insecta,I,P,1
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S12,PTS-ETHY-S12,17,Pardosa acorensis Simon,Lycosidae,Araneae,Arachnida,E ,P,1
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S13,PTS-ETHY-S13,17,Pardosa acorensis Simon,Lycosidae,Araneae,Arachnida,E ,P,3
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S13,PTS-ETHY-S13,27,Lithobius pilicornis pilicornis Newport,Lithobiidae,Lithobiomorpha ,Chilopoda,N,P,3
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S13,PTS-ETHY-S13,38,Chthonius ischnocheles (Hermann),Chthoniidae,Pseudoscorpiones,Arachnida,I,P,2
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S14,PTS-ETHY-S14,17,Pardosa acorensis Simon,Lycosidae,Araneae,Arachnida,E ,P,1
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S14,PTS-ETHY-S14,27,Lithobius pilicornis pilicornis Newport,Lithobiidae,Lithobiomorpha ,Chilopoda,N,P,2
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S15,PTS-ETHY-S15,9,Ommatoiulus moreletii (Lucas),Julidae,Julida,Diplopoda,I,H,1
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S15,PTS-ETHY-S15,27,Lithobius pilicornis pilicornis Newport,Lithobiidae,Lithobiomorpha ,Chilopoda,N,P,2
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S15,PTS-ETHY-S15,504,Pseudoplectus perplexus (Jacquelin du Val),Staphylinidae,Coleoptera,Insecta,N,S,1
TER-ACAR-T112,Algar do Carvão 2,TER,Exotic forest - mono,2007,August,Pitfall solution,S16,PTS-ETHY-S16,27,Lithobius pilicornis pilicornis Newport,Lithobiidae,Lithobiomorpha ,Chilopoda,N,P,1
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S02,PTS-ETHY-S02,28,Dysdera crocata C. L. Koch,Dysderidae,Araneae,Arachnida,I,P,1
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S04,PTS-ETHY-S04,19,Argyresthia atlanticella Rebel,Yponomeutidae,Lepidoptera,Insecta,E ,H,1
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S06,PTS-ETHY-S06,19,Argyresthia atlanticella Rebel,Yponomeutidae,Lepidoptera,Insecta,E ,H,1
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S06,PTS-ETHY-S06,282,Cylindroiulus propinquus (Porat),Julidae,Julida,Diplopoda,I,S,1
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S06,PTS-ETHY-S06,926,Anoscopus albifrons (Linnaeus),Cicadellidae,Hemiptera,Insecta,N,H,1
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S08,PTS-ETHY-S08,254,Megamelodes quadrimaculatus (Signoret),Delphacidae,Hemiptera,Insecta,N,H,1
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S10,PTS-ETHY-S10,9,Ommatoiulus moreletii (Lucas),Julidae,Julida,Diplopoda,I,H,1
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S10,PTS-ETHY-S10,10,Mythimna unipuncta (Haworth),Noctuidae,Lepidoptera,Insecta,N,H,1
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S10,PTS-ETHY-S10,50,Canariphantes acoreensis (Wunderlich),Linyphiidae,Araneae,Arachnida,E ,P,1
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S12,PTS-ETHY-S12,38,Chthonius ischnocheles (Hermann),Chthoniidae,Pseudoscorpiones,Arachnida,I,P,2
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S14,PTS-ETHY-S14,17,Pardosa acorensis Simon,Lycosidae,Araneae,Arachnida,E ,P,1
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S14,PTS-ETHY-S14,27,Lithobius pilicornis pilicornis Newport,Lithobiidae,Lithobiomorpha ,Chilopoda,N,P,2
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S16,PTS-ETHY-S16,17,Pardosa acorensis Simon,Lycosidae,Araneae,Arachnida,E ,P,1
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S16,PTS-ETHY-S16,22,Agyneta decora (O.P.-Cambridge),Linyphiidae,Araneae,Arachnida,I,P,1
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S16,PTS-ETHY-S16,28,Dysdera crocata C. L. Koch,Dysderidae,Araneae,Arachnida,I,P,2
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S16,PTS-ETHY-S16,31,Otiorhynchus rugosostriatus (Goeze),Curculionidae,Coleoptera,Insecta,I,H,1
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S16,PTS-ETHY-S16,926,Anoscopus albifrons (Linnaeus),Cicadellidae,Hemiptera,Insecta,N,H,1
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S18,PTS-ETHY-S18,17,Pardosa acorensis Simon,Lycosidae,Araneae,Arachnida,E ,P,1
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S18,PTS-ETHY-S18,282,Cylindroiulus propinquus (Porat),Julidae,Julida,Diplopoda,I,S,1
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S20,PTS-ETHY-S20,10,Mythimna unipuncta (Haworth),Noctuidae,Lepidoptera,Insecta,N,H,1
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S20,PTS-ETHY-S20,17,Pardosa acorensis Simon,Lycosidae,Araneae,Arachnida,E ,P,1
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S20,PTS-ETHY-S20,27,Lithobius pilicornis pilicornis Newport,Lithobiidae,Lithobiomorpha ,Chilopoda,N,P,1
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S20,PTS-ETHY-S20,282,Cylindroiulus propinquus (Porat),Julidae,Julida,Diplopoda,I,S,1
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S22,PTS-ETHY-S22,17,Pardosa acorensis Simon,Lycosidae,Araneae,Arachnida,E ,P,1
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S22,PTS-ETHY-S22,27,Lithobius pilicornis pilicornis Newport,Lithobiidae,Lithobiomorpha ,Chilopoda,N,P,9
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S22,PTS-ETHY-S22,28,Dysdera crocata C. L. Koch,Dysderidae,Araneae,Arachnida,I,P,1
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S24,PTS-ETHY-S24,17,Pardosa acorensis Simon,Lycosidae,Araneae,Arachnida,E ,P,2
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S24,PTS-ETHY-S24,27,Lithobius pilicornis pilicornis Newport,Lithobiidae,Lithobiomorpha ,Chilopoda,N,P,1
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S24,PTS-ETHY-S24,28,Dysdera crocata C. L. Koch,Dysderidae,Araneae,Arachnida,I,P,1
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S26,PTS-ETHY-S26,17,Pardosa acorensis Simon,Lycosidae,Araneae,Arachnida,E ,P,2
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S26,PTS-ETHY-S26,27,Lithobius pilicornis pilicornis Newport,Lithobiidae,Lithobiomorpha ,Chilopoda,N,P,1
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S28,PTS-ETHY-S28,17,Pardosa acorensis Simon,Lycosidae,Araneae,Arachnida,E ,P,5
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S01,PTS-TURQ-S01,2,Tenuiphantes miguelensis Wunderlich,Linyphiidae,Araneae,Arachnida,N,P,1
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S01,PTS-TURQ-S01,17,Pardosa acorensis Simon,Lycosidae,Araneae,Arachnida,E ,P,1
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S01,PTS-TURQ-S01,27,Lithobius pilicornis pilicornis Newport,Lithobiidae,Lithobiomorpha ,Chilopoda,N,P,1
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S03,PTS-TURQ-S03,9,Ommatoiulus moreletii (Lucas),Julidae,Julida,Diplopoda,I,H,1
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S03,PTS-TURQ-S03,19,Argyresthia atlanticella Rebel,Yponomeutidae,Lepidoptera,Insecta,E ,H,1
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S03,PTS-TURQ-S03,22,Agyneta decora (O.P.-Cambridge),Linyphiidae,Araneae,Arachnida,I,P,2
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S03,PTS-TURQ-S03,926,Anoscopus albifrons (Linnaeus),Cicadellidae,Hemiptera,Insecta,N,H,2
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S05,PTS-TURQ-S05,17,Pardosa acorensis Simon,Lycosidae,Araneae,Arachnida,E ,P,1
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S05,PTS-TURQ-S05,22,Agyneta decora (O.P.-Cambridge),Linyphiidae,Araneae,Arachnida,I,P,2
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S05,PTS-TURQ-S05,27,Lithobius pilicornis pilicornis Newport,Lithobiidae,Lithobiomorpha ,Chilopoda,N,P,2
TER-ACAR-T-25,Algar do Carvão eucaliptal,TER,Exotic forest - mono,2002,August,Pitfall solution,S05,PTS-TURQ-S05,41,Ocypus aethiops (Waltl),Staphylinidae,Coleoptera,Insecta,N,P,1
